Date,Historical Adj Close,Volume,Daily New Cases,ROE,ROA,PM,EPS,Adj Close
2012-01--24 00:00:00,12.68492,28466143,0,11.0374,7.2438,58.5503,1.51,12.862049
2012-01--25 00:00:00,12.853998,17023090,0,11.0374,7.2438,58.5503,1.51,12.858025
2012-01--26 00:00:00,12.878152,18704822,0,11.0374,7.2438,58.5503,1.51,12.765435
2012-01--27 00:00:00,12.862049,15765473,0,11.0374,7.2438,58.5503,1.51,12.821793
2012-01--30 00:00:00,12.858025,17279460,0,11.0374,7.2438,58.5503,1.51,12.713101
2012-01--31 00:00:00,12.765435,19482250,0,11.0374,7.2438,58.5503,1.51,12.721149
2012-02--01 00:00:00,12.821793,17936662,0,11.0374,7.2438,58.5503,1.51,12.962693
2012-02--02 00:00:00,12.713101,27540691,0,11.0374,7.2438,58.5503,1.51,13.163974
2012-02--03 00:00:00,12.721149,26349127,0,11.0374,7.2438,58.5503,1.51,13.264618
2012-02--06 00:00:00,12.962693,21515630,0,11.0374,7.2438,58.5503,1.51,13.139823
2012-02--07 00:00:00,13.163974,20895019,0,11.0374,7.2438,58.5503,1.51,13.232412
2012-02--08 00:00:00,13.264618,16424100,0,11.0374,7.2438,58.5503,1.51,13.304876
2012-02--09 00:00:00,13.139823,23426885,0,11.0374,7.2438,58.5503,1.51,13.389415
2012-02--10 00:00:00,13.232412,18888725,0,11.0374,7.2438,58.5503,1.51,13.296826
2012-02--13 00:00:00,13.304876,17369273,0,11.0374,7.2438,58.5503,1.51,13.349157
2012-02--14 00:00:00,13.389415,12747002,0,11.0374,7.2438,58.5503,1.51,13.268644
2012-02--15 00:00:00,13.296826,15516230,0,11.0374,7.2438,58.5503,1.51,13.409543
2012-02--16 00:00:00,13.349157,32283187,0,11.0374,7.2438,58.5503,1.51,13.892624
2012-02--17 00:00:00,13.268644,33739438,0,11.0374,7.2438,58.5503,1.51,14.114037
2012-02--21 00:00:00,13.409543,38596219,0,11.0374,7.2438,58.5503,1.51,14.146241
2012-02--22 00:00:00,13.892624,22501195,0,11.0374,7.2438,58.5503,1.51,13.957035
2012-02--23 00:00:00,14.114037,18213941,0,11.0374,7.2438,58.5503,1.51,14.500503
2012-02--24 00:00:00,14.146241,44479670,0,11.0374,7.2438,58.5503,1.51,14.637376
2012-02--27 00:00:00,13.957035,22231519,0,11.0374,7.2438,58.5503,1.51,14.717891
2012-02--28 00:00:00,14.500503,23131548,0,11.0374,7.2438,58.5503,1.51,14.742045
2012-02--29 00:00:00,14.637376,21855161,0,11.0374,7.2438,58.5503,1.51,14.387784
2012-03--01 00:00:00,14.717891,32674039,0,11.0374,7.2438,58.5503,1.51,14.6414
2012-03--02 00:00:00,14.742045,20357093,0,11.0374,7.2438,58.5503,1.51,14.593093
2012-03--05 00:00:00,14.387784,28456402,0,11.0374,7.2438,58.5503,1.51,14.379734
2012-03--06 00:00:00,14.6414,28267985,0,11.0374,7.2438,58.5503,1.51,14.134166
